sku,mlir,succuss,time
gfx1201,unet_gemm_64_640_2048_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0502137618760267
gfx1201,unet_gemm_64_640_2048_i32_i32_tB_benchmark.mlir,False,0.0052604763147731
gfx1201,unet_gemm_64_640_2048_i8_i32_tB_benchmark.mlir,True,0.0502161786270638
gfx1201,unet_gemm_8192_5120_640_f16_f32_tB_benchmark.mlir,True,0.0502661608469982
gfx1201,unet_gemm_8192_5120_640_f32_f32_tB_benchmark.mlir,False,0.0044118703653415
gfx1201,unet_gemm_8192_5120_640_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0502232764226694
gfx1201,unet_gemm_8192_5120_640_i32_i32_tB_benchmark.mlir,False,0.0044083362445235
gfx1201,unet_gemm_8192_5120_640_i8_i32_tB_benchmark.mlir,True,0.0502186953090131
gfx1201,unet_gemm_8192_640_2560_f16_f32_tB_benchmark.mlir,True,0.0502210345740119
gfx1201,unet_gemm_8192_640_2560_f32_f32_tB_benchmark.mlir,False,0.0061209682685633
gfx1201,unet_gemm_8192_640_2560_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0501985748298466
gfx1201,unet_gemm_8192_640_2560_i32_i32_tB_benchmark.mlir,False,0.0052368252538144
gfx1201,unet_gemm_8192_640_2560_i8_i32_tB_benchmark.mlir,True,0.0501852589969833
gfx1201,unet_gemm_8192_640_640_f16_f32_tB_benchmark.mlir,True,0.0501960227576394
gfx1201,unet_gemm_8192_640_640_f32_f32_tB_benchmark.mlir,False,0.0069336190509299
gfx1201,unet_gemm_8192_640_640_f8E4M3FN_f32_tB_benchmark.mlir,True,0.0502017792935172
gfx1201,unet_gemm_8192_640_640_i32_i32_tB_benchmark.mlir,False,0.0052534515038132
gfx1201,unet_gemm_8192_640_640_i8_i32_tB_benchmark.mlir,True,0.05016692740221818
